iter	Passed	Remaining
0	167	29953
1	186	16606
2	207	12217
3	225	9904
4	243	8531
5	261	7588
6	278	6882
7	291	6267
8	300	5716
9	309	5255
10	316	4869
11	323	4533
12	330	4250
13	337	4002
14	344	3790
15	351	3604
16	358	3433
17	364	3282
18	371	3147
19	378	3030
20	385	2916
21	392	2818
22	399	2724
23	405	2637
24	412	2557
25	419	2484
26	426	2415
27	433	2350
28	439	2286
29	446	2231
30	452	2176
31	460	2127
32	467	2080
33	473	2032
34	479	1987
35	486	1947
36	495	1916
37	507	1896
38	521	1884
39	535	1872
40	550	1864
41	564	1854
42	574	1831
43	585	1808
44	595	1785
45	603	1758
46	611	1730
47	618	1700
48	625	1672
49	634	1649
50	641	1621
51	648	1596
52	655	1570
53	663	1547
54	669	1522
55	676	1497
56	683	1474
57	689	1451
58	697	1429
59	703	1406
60	710	1386
61	716	1364
62	723	1344
63	729	1322
64	735	1301
65	742	1282
66	748	1262
67	754	1243
68	761	1225
69	768	1207
70	775	1190
71	781	1172
72	788	1155
73	795	1139
74	801	1122
75	808	1106
76	814	1089
77	821	1073
78	827	1058
79	834	1043
80	841	1028
81	847	1013
82	854	998
83	861	984
84	867	969
85	874	955
86	881	941
87	887	927
88	893	913
89	900	900
90	906	886
91	913	873
92	920	860
93	927	848
94	933	835
95	940	822
96	946	810
97	953	797
98	959	785
99	965	772
100	972	760
101	979	748
102	985	737
103	993	725
104	999	713
105	1006	702
106	1013	691
107	1020	680
108	1028	669
109	1035	658
110	1042	647
111	1048	636
112	1055	625
113	1061	614
114	1069	604
115	1075	593
116	1082	582
117	1088	572
118	1095	561
119	1103	551
120	1110	541
121	1117	531
122	1124	521
123	1130	510
124	1137	500
125	1144	490
126	1151	480
127	1157	470
128	1164	460
129	1170	450
130	1177	440
131	1185	431
132	1192	421
133	1199	411
134	1205	401
135	1212	392
136	1220	382
137	1227	373
138	1233	363
139	1241	354
140	1248	345
141	1255	335
142	1261	326
143	1268	317
144	1275	307
145	1281	298
146	1287	289
147	1294	279
148	1301	270
149	1308	261
150	1315	252
151	1322	243
152	1329	234
153	1335	225
154	1342	216
155	1349	207
156	1356	198
157	1362	189
158	1369	180
159	1376	172
160	1383	163
161	1389	154
162	1396	145
163	1403	136
164	1409	128
165	1416	119
166	1423	110
167	1430	102
168	1437	93
169	1444	84
170	1451	76
171	1457	67
172	1464	59
173	1471	50
174	1478	42
175	1485	33
176	1492	25
177	1499	16
178	1506	8
179	1513	0
